"","X","Date","scaled_change","lag_volume_scaled"
"341",1071,"2017-12-07",0.500762992297158,0.0572796782569137
"342",1072,"2017-12-08",0.473759433681926,0.0485335575635705
"343",1073,"2017-12-09",0.446613355185465,0.0399885600836571
"344",1074,"2017-12-10",0.419365515565878,0.031632633937671
"345",1075,"2017-12-11",0.392041361899646,0.0234543620190337
"346",1076,"2017-12-12",0.364642245961645,0.0154425462164731
"347",1077,"2017-12-13",0.337157553336756,0.00758426954105538
"348",1078,"2017-12-14",0.309551357695035,-0.000132682462533951
"349",1079,"2017-12-15",0.281788196031743,-0.00771982238311991
"350",1080,"2017-12-16",0.253806729128053,-0.0151863964520643
"351",1081,"2017-12-17",0.225551370582436,-0.0225395645915407
"352",1082,"2017-12-18",0.197000731773262,-0.0297878252291274
"353",1083,"2017-12-19",0.168171591452162,-0.0369414810631432
"354",1084,"2017-12-20",0.139091527349655,-0.0440093481715873
"355",1085,"2017-12-21",0.109796643170735,-0.0509976909689646
"356",1086,"2017-12-22",0.0803185924998498,-0.0579099781697347
"357",1087,"2017-12-23",0.0506759038866429,-0.064747551207589
"358",1088,"2017-12-24",0.0209130105388952,-0.0715109850530979
"359",1089,"2017-12-25",-0.00890140308333254,-0.0781986161315576
"360",1090,"2017-12-26",-0.0386975922637841,-0.0848083267985413
"361",1091,"2017-12-27",-0.0683968578547098,-0.0913382627058028
"362",1092,"2017-12-28",-0.0979359077709463,-0.0977871377171601
"363",1093,"2017-12-29",-0.127247936913056,-0.104154207711533
"364",1094,"2017-12-30",-0.156276651142643,-0.110437603279491
"365",1095,"2017-12-31",-0.185003034123222,-0.116634550895238
"366",1096,"2018-01-01",-0.213426968894354,-0.122742332027451
"367",1097,"2018-01-02",-0.241576854289663,-0.128759127510205
"368",1098,"2018-01-03",-0.269464618245999,-0.134683590240326
"369",1099,"2018-01-04",-0.297101317716958,-0.140513169648449
"370",1100,"2018-01-05",-0.324502809155526,-0.146245489005237
"371",1101,"2018-01-06",-0.351698344994447,-0.151879098230402
"372",1102,"2018-01-07",-0.378702766146274,-0.157413184711762
"373",1103,"2018-01-08",-0.40550058761958,-0.162848155291422
"374",1104,"2018-01-09",-0.432046996532167,-0.168185757275899
"375",1105,"2018-01-10",-0.458296256969086,-0.173427103384336
"376",1106,"2018-01-11",-0.484226491394659,-0.178572026508516
"377",1107,"2018-01-12",-0.509836721676132,-0.183621165569406
"378",1108,"2018-01-13",-0.535130588051501,-0.188576517750772
"379",1109,"2018-01-14",-0.560109571335562,-0.19343978794085
"380",1110,"2018-01-15",-0.58476438445088,-0.198212858420664
"381",1111,"2018-01-16",-0.609062808589017,-0.202899186660488
"382",1112,"2018-01-17",-0.632962196163851,-0.207503765387991
"383",1113,"2018-01-18",-0.656426182184538,-0.212032015422079
"384",1114,"2018-01-19",-0.679416736600322,-0.216490832648998
"385",1115,"2018-01-20",-0.701895045019288,-0.220888450281048
"386",1116,"2018-01-21",-0.723808011793585,-0.22523273263775
"387",1117,"2018-01-22",-0.745132360469719,-0.229531430261138
"388",1118,"2018-01-23",-0.765873611596353,-0.233791227787765
"389",1119,"2018-01-24",-0.786054902270981,-0.238016824560288
"390",1120,"2018-01-25",-0.805681674352417,-0.242211690493119
"391",1121,"2018-01-26",-0.824767935468315,-0.246379034862974
"392",1122,"2018-01-27",-0.843310041516442,-0.250522481522812
"393",1123,"2018-01-28",-0.861276164432313,-0.254644863519318
"394",1124,"2018-01-29",-0.878609431609396,-0.25874832982575
"395",1125,"2018-01-30",-0.895233594898012,-0.262835479441175
"396",1126,"2018-01-31",-0.911048750609182,-0.26690868696001
"397",1127,"2018-02-01",-0.925970705419656,-0.270970318018957
"398",1128,"2018-02-02",-0.93993992545311,-0.275023266987251
"399",1129,"2018-02-03",-0.952867913775267,-0.279070674021317
"400",1130,"2018-02-04",-0.964632267029699,-0.28311493614677
"401",1131,"2018-02-05",-0.97513871133929,-0.287157869485838
"402",1132,"2018-02-06",-0.984309929615709,-0.291201057882196
"403",1133,"2018-02-07",-0.992068977644302,-0.295245913457537
"404",1134,"2018-02-08",-0.998370831018088,-0.299293702740617
"405",1135,"2018-02-09",-1.00320183323621,-0.3033453463829
"406",1136,"2018-02-10",-1.0065786824334,-0.307401388437512
"407",1137,"2018-02-11",-1.00854339979357,-0.311462111416125
"408",1138,"2018-02-12",-1.00914819293926,-0.315528085365679
"409",1139,"2018-02-13",-1.00846625447122,-0.319600361124114
"410",1140,"2018-02-14",-1.00658701061648,-0.323679881195547
"411",1141,"2018-02-15",-1.00358976083355,-0.327767890121713
"412",1142,"2018-02-16",-0.999557685859389,-0.331865983617694
"413",1143,"2018-02-17",-0.994597916658452,-0.335976275301646
"414",1144,"2018-02-18",-0.988824233591566,-0.340101204440671
"415",1145,"2018-02-19",-0.982358295390701,-0.344243194420954
"416",1146,"2018-02-20",-0.975316090569473,-0.348404563021051
"417",1147,"2018-02-21",-0.967801308239478,-0.352587797627843
"418",1148,"2018-02-22",-0.959930127898206,-0.35679540779494
"419",1149,"2018-02-23",-0.951795756450073,-0.361029138727648
"420",1150,"2018-02-24",-0.943477740795015,-0.365289900475128
"421",1151,"2018-02-25",-0.935068805252215,-0.369578055807394
"422",1152,"2018-02-26",-0.92666264366116,-0.37389346332803
"423",1153,"2018-02-27",-0.918330401006096,-0.378235778303499
"424",1154,"2018-02-28",-0.910139508427654,-0.382604222421386
"425",1155,"2018-03-01",-0.902147128090744,-0.386997958697331
"426",1156,"2018-03-02",-0.894392550610853,-0.391415747434719
"427",1157,"2018-03-03",-0.886912414448464,-0.395856120429279
"428",1158,"2018-03-04",-0.87974730101302,-0.400317589055061
"429",1159,"2018-03-05",-0.872947366129995,-0.404798339001384
"430",1160,"2018-03-06",-0.866571951066822,-0.409296549075384
"431",1161,"2018-03-07",-0.860684599582664,-0.41380986490826
"432",1162,"2018-03-08",-0.855317385399435,-0.418335328612758
"433",1163,"2018-03-09",-0.850488708668276,-0.422869541574191
"434",1164,"2018-03-10",-0.846206404357507,-0.427408743253918
"435",1165,"2018-03-11",-0.842467900069979,-0.431949234194151
"436",1166,"2018-03-12",-0.839251306878122,-0.436487500919823
"437",1167,"2018-03-13",-0.836523617867912,-0.441020303601634
"438",1168,"2018-03-14",-0.834240550037441,-0.44554452631911
"439",1169,"2018-03-15",-0.832349940459793,-0.450056959607926
"440",1170,"2018-03-16",-0.830784668442201,-0.454554392710863
"441",1171,"2018-03-17",-0.829477694783783,-0.459033132611213
"442",1172,"2018-03-18",-0.828367210688667,-0.463489173227295
