"","X","Sentiment","Date","Change_.","scaled_sentiment","scaled_change"
"376",375,0.11199580328893,"2018-11-08",-0.00179170154322325,-0.935078516569418,-0.973157657737796
"377",376,0.111982695953514,"2018-11-09",-0.00181200746854572,-0.936562954219083,-0.979964430213304
"378",377,0.111969971419005,"2018-11-10",-0.00182984466598838,-0.938004038733871,-0.985943657589788
"379",378,0.11195767010029,"2018-11-11",-0.00184534034431155,-0.939397193029595,-0.991137981661428
"380",379,0.111945845853823,"2018-11-12",-0.00185861745935349,-0.940736317731695,-0.995588618595547
"381",380,0.111934547921293,"2018-11-13",-0.00186978870221944,-0.94201583609901,-0.99933334370655
"382",381,0.111923821219573,"2018-11-14",-0.00187901213106144,-0.94323066118612,-1.00242513984854
"383",382,0.111913695165119,"2018-11-15",-0.00188645537524029,-0.944377461507931,-1.00492019825147
"384",383,0.111904228584871,"2018-11-16",-0.00189226633049331,-0.945449574770344,-1.00686809521477
"385",384,0.111895487034879,"2018-11-17",-0.00189656716927975,-0.946439576590863,-1.00830978430838
"386",385,0.111887535994591,"2018-11-18",-0.00189945382354509,-0.947340051262669,-1.00927742298959
"387",386,0.11188044801288,"2018-11-19",-0.00190098802339839,-0.948142782449308,-1.00979170387891
"388",387,0.111874289230383,"2018-11-20",-0.00190121317874744,-0.94884027956249,-1.00986717846124
"389",388,0.11186913010661,"2018-11-21",-0.00190017748800796,-0.949424562891235,-1.0095200033827
"390",389,0.111865050629384,"2018-11-22",-0.00189792125945776,-0.949886573619709,-1.00876369042725
"391",390,0.111862107190626,"2018-11-23",-0.00189446651212536,-0.950219925225805,-1.00760562061863
"392",391,0.111860349529385,"2018-11-24",-0.00188982031297219,-0.950418984640846,-1.00604816288108
"393",392,0.111859791489946,"2018-11-25",-0.00188401129661461,-0.950482183966054,-1.00410091585714
"394",393,0.111860417783778,"2018-11-26",-0.00187710404983929,-0.95041125466473,-1.00178552975751
"395",394,0.111862189674336,"2018-11-27",-0.00186917878384264,-0.95021058374482,-0.999128892269171
"396",395,0.111865081958262,"2018-11-28",-0.00186027885913769,-0.949883025548052,-0.996145538319338
"397",396,0.111869073965246,"2018-11-29",-0.00185043165846071,-0.949430921037417,-0.992844646906394
"398",397,0.111874180096946,"2018-11-30",-0.00183966944042095,-0.948852639189978,-0.989237031475669
"399",398,0.111880467746062,"2018-12-01",-0.00182800480653639,-0.948140547618338,-0.985326916196437
"400",399,0.111888032100905,"2018-12-02",-0.00181548332116551,-0.947283866014702,-0.981129574749473
"401",400,0.111896956090273,"2018-12-03",-0.00180216641702595,-0.946273202490629,-0.976665600066388
"402",401,0.111907296354317,"2018-12-04",-0.00178812255618046,-0.945102142411187,-0.971957941393615
"403",402,0.111919123091946,"2018-12-05",-0.00177343614645185,-0.943762735578863,-0.967034893174085
"404",403,0.11193252712147,"2018-12-06",-0.00175820783628716,-0.942244696599117,-0.961930193888954
"405",404,0.111947568544849,"2018-12-07",-0.00174252417842365,-0.940541218778565,-0.956672856980374
