"","X","Submission.Volume","Date","Change_.","scaled_volume","scaled_change"
"824",1554,153.230830043152,"2019-04-04",0.00260998277242986,-0.958043188402118,0.236159223820759
"825",1555,153.42563933226,"2019-04-05",0.00266064591580336,-0.95670104255013,0.251332535601149
"826",1556,153.631382449125,"2019-04-06",0.00271274661403714,-0.955283567684634,0.266936386559416
"827",1557,153.848039900251,"2019-04-07",0.00276626909273835,-0.953790898106803,0.282966052358194
"828",1558,154.075641842583,"2019-04-08",0.00282115747236387,-0.952222826049227,0.29940479740484
"829",1559,154.314289344203,"2019-04-09",0.00287735571499057,-0.950578655199609,0.316235838672821
"830",1560,154.564101335113,"2019-04-10",0.00293479607292463,-0.94885756618526,0.333438886128553
"831",1561,154.82515051873,"2019-04-11",0.00299338487056171,-0.947059058113286,0.350985884482602
"832",1562,155.097419874994,"2019-04-12",0.00305302757903353,-0.945183248244018,0.368848522898033
"833",1563,155.380749806286,"2019-04-13",0.00311365480843339,-0.943231236131203,0.387006019508214
"834",1564,155.674893311641,"2019-04-14",0.00317521090658511,-0.941204723497181,0.405441706815549
"835",1565,155.979637706242,"2019-04-15",0.00323765464665705,-0.939105175641929,0.424143237627806
"836",1566,156.294821546474,"2019-04-16",0.00330092042745881,-0.936933704837234,0.443090964776477
"837",1567,156.620247778537,"2019-04-17",0.00336491819835001,-0.934691668692598,0.462257918627395
"838",1568,156.955651041501,"2019-04-18",0.00342954118059898,-0.93238089542202,0.481612119581995
"839",1569,157.300763963135,"2019-04-19",0.00349471074526497,-0.93000322709645,0.50113001873759
"840",1570,157.65534879636,"2019-04-20",0.00356031875029533,-0.927560301683243,0.520779228189051
"841",1571,158.019155803557,"2019-04-21",0.00362625790011514,-0.925053839759018,0.54052761354631
"842",1572,158.392017921958,"2019-04-22",0.00369248949604478,-0.922484992308948,0.560363584783717
"843",1573,158.773888378334,"2019-04-23",0.00375902284859336,-0.919854081578926,0.580289930343682
"844",1574,159.164737499875,"2019-04-24",0.00382589778397251,-0.917161312000884,0.600318577941023
"845",1575,159.564534708772,"2019-04-25",0.00389315571153456,-0.914406894241777,0.620461929431842
"846",1576,159.973270248882,"2019-04-26",0.00396079573402199,-0.911590895516916,0.640719716092811
"847",1577,160.390843119412,"2019-04-27",0.00402883206574425,-0.908714011675029,0.661096195025544
"848",1578,160.817035405099,"2019-04-28",0.00409722519881794,-0.905777744051431,0.681579533852635
"849",1579,161.25168169862,"2019-04-29",0.00416585130340002,-0.902783232226032,0.702132646268521
"850",1580,161.694657828731,"2019-04-30",0.00423451719768438,-0.899731331681243,0.722697675464896
"851",1581,162.145833879416,"2019-05-01",0.00430302078163972,-0.896622937478293,0.743214093677751
"852",1582,162.605003826022,"2019-05-02",0.00437113694096311,-0.893459469031707,0.763614480504862
"853",1583,163.071930363337,"2019-05-03",0.00443861837325625,-0.890242561264574,0.783824770340664
"854",1584,163.546272722724,"2019-05-04",0.00450517738378561,-0.886974561915119,0.803758800314112
"855",1585,164.027595229956,"2019-05-05",0.00457049020780916,-0.883658472577135,0.823319604799955
"856",1586,164.515454335292,"2019-05-06",0.00463419777066138,-0.880297349103102,0.842399643059705
"857",1587,165.009452753886,"2019-05-07",0.00469599346068415,-0.876893928601741,0.860907086715292
"858",1588,165.509150998835,"2019-05-08",0.00475563952830583,-0.873451238934455,0.878770731176239
"859",1589,166.014022431647,"2019-05-09",0.00481293191999609,-0.869972908396727,0.895929463617135
"860",1590,166.523550302963,"2019-05-10",0.00486770117083259,-0.866462497152527,0.912332530296086
"861",1591,167.037148776671,"2019-05-11",0.00491982911235097,-0.862924041341559,0.927944540456952
"862",1592,167.554146779691,"2019-05-12",0.00496922471178587,-0.859362164346797,0.942738230324942
"863",1593,168.073934456223,"2019-05-13",0.00501581736305419,-0.855781067792486,0.956692453795789
"864",1594,168.595938669173,"2019-05-14",0.00505952455491004,-0.852184700327984,0.969782499239377
"865",1595,169.119528050175,"2019-05-15",0.00510028855314021,-0.848577411789149,0.98199107560034
"866",1596,169.64397416162,"2019-05-16",0.0051380329330991,-0.844964220774029,0.993295294149348
"867",1597,170.168525224498,"2019-05-17",0.00517264304353862,-0.841350306692102,1.00366081751574
"868",1598,170.692343605628,"2019-05-18",0.00520399046276411,-0.837741440448361,1.01304918416153
"869",1599,171.214562801496,"2019-05-19",0.00523197319066808,-0.834143591851032,1.02142984565785
"870",1600,171.734301896438,"2019-05-20",0.00525646119431051,-0.830562830001399,1.02876385790827
"871",1601,172.25071003929,"2019-05-21",0.00527728975730361,-0.827005016870226,1.0350018893289
"872",1602,172.762999780347,"2019-05-22",0.00529431926176469,-0.823475577621594,1.04010212518969
"873",1603,173.270426521178,"2019-05-23",0.00530747664214616,-0.819979642194118,1.04404268279128
"874",1604,173.772305158941,"2019-05-24",0.0053167623272593,-0.816521930629339,1.04682369056014
"875",1605,174.267911791629,"2019-05-25",0.00532220402181577,-0.813107430277087,1.04845344589352
"876",1606,174.756491720562,"2019-05-26",0.00532387923830022,-0.809741340662036,1.04895516332213
"877",1607,175.237364426831,"2019-05-27",0.00532193808368535,-0.806428350244543,1.04837379899642
"878",1608,175.709937986181,"2019-05-28",0.00531656087686483,-0.803172537108804,1.04676335735853
"879",1609,176.173567480243,"2019-05-29",0.00530789788809696,-0.799978344443946,1.04416884346198
"880",1610,176.627611468061,"2019-05-30",0.00529609086950887,-0.796850191481319,1.04063271123045
"881",1611,177.071483388811,"2019-05-31",0.00528130162030674,-0.793792119353568,1.03620341856917
"882",1612,177.50460928289,"2019-06-01",0.00526367253724314,-0.790808082376746,1.03092361246328
"883",1613,177.926389743382,"2019-06-02",0.00524334705033888,-0.78790221018712,1.02483624935569
"884",1614,178.336236897951,"2019-06-03",0.00522051644387459,-0.785078552953046,1.01799861775703
"885",1615,178.733678088847,"2019-06-04",0.00519530860519613,-0.782340367067699,1.01044901917097
"886",1616,179.118332841265,"2019-06-05",0.00516778508632537,-0.779690273826408,1.00220588806398
"887",1617,179.489856483372,"2019-06-06",0.00513798975413865,-0.777130647858607,0.993282362306086
"888",1618,179.847966654984,"2019-06-07",0.0051060015333584,-0.7746634344953,0.983702079384821
"889",1619,180.192421453111,"2019-06-08",0.0050718909236508,-0.772290300336137,0.973486153533221
"890",1620,180.523022442231,"2019-06-09",0.00503579864189828,-0.770012612510049,0.962676728625267
"891",1621,180.839694704216,"2019-06-10",0.00499792198441175,-0.76783088716826,0.95133289373912
"892",1622,181.142553149833,"2019-06-11",0.00495852393840494,-0.765744332628762,0.939533411989782
"893",1623,181.431784910488,"2019-06-12",0.00491785789116088,-0.763751659642764,0.927354171369805
"894",1624,181.707610319926,"2019-06-13",0.00487612855264081,-0.761851350212731,0.914856481301766
"895",1625,181.970284454603,"2019-06-14",0.00483347695674997,-0.760041646979916,0.902082580606109
"896",1626,182.220050624262,"2019-06-15",0.00479004585994869,-0.758320873652783,0.889075223998328
"897",1627,182.457101981136,"2019-06-16",0.00474594883861665,-0.756687699501825,0.875868426932363
"898",1628,182.681670210134,"2019-06-17",0.00470127421025203,-0.755140528325248,0.862488639976546
"899",1629,182.894073671231,"2019-06-18",0.00465606625242385,-0.753677166770137,0.848949124000901
"900",1630,183.094602725998,"2019-06-19",0.00461036474374758,-0.752295614379632,0.835261792465485
"901",1631,183.283496302711,"2019-06-20",0.00456420062507641,-0.750994225048494,0.821435911972822
"902",1632,183.460978028587,"2019-06-21",0.00451756922084037,-0.749771458088669,0.807470082217358
"903",1633,183.627245867522,"2019-06-22",0.00447041859527542,-0.748625949620524,0.793348748744953
