"","Date","Open","High","Low","Close","Adj.Close","Volume","Percent.Diff","Model","Predicted.Percent.Change","Percent.Change","Error"
"1","2020-10-02",10619.8212890625,10657.837890625,10416.689453125,10575.974609375,10575.974609375,48661453918,-0.00409414143543152,"regression",-0.00186083224300715,-0.00409414143543152,0.00223330919242437
"2","2020-10-02",10619.8212890625,10657.837890625,10416.689453125,10575.974609375,10575.974609375,48661453918,-0.00409414143543152,"random_forest",0.0154410512063582,-0.00409414143543152,0.0195351926417897
"3","2020-10-02",10619.8212890625,10657.837890625,10416.689453125,10575.974609375,10575.974609375,48661453918,-0.00409414143543152,"rnn",0.00184091401752084,-0.00409414143543152,0.00593505545295236
"4","2020-10-03",10575.1005859375,10598.9404296875,10511.1298828125,10549.3291015625,10549.3291015625,44660271563,-0.0025194375739972,"regression",0.00244173415723961,-0.0025194375739972,0.0049611717312368
"5","2020-10-03",10575.1005859375,10598.9404296875,10511.1298828125,10549.3291015625,10549.3291015625,44660271563,-0.0025194375739972,"random_forest",0.0224540830659552,-0.0025194375739972,0.0249735206399524
"6","2020-10-03",10575.1005859375,10598.9404296875,10511.1298828125,10549.3291015625,10549.3291015625,44660271563,-0.0025194375739972,"rnn",0.00272709364071488,-0.0025194375739972,0.00524653121471208
"7","2020-10-04",10550.4404296875,10686,10534.3916015625,10669.5830078125,10669.5830078125,71251776995,0.0113991994270222,"regression",0.00359333053034607,0.0113991994270222,0.0078058688966761
"8","2020-10-04",10550.4404296875,10686,10534.3916015625,10669.5830078125,10669.5830078125,71251776995,0.0113991994270222,"random_forest",0.00849503428542225,0.0113991994270222,0.00290416514159991
"9","2020-10-04",10550.4404296875,10686,10534.3916015625,10669.5830078125,10669.5830078125,71251776995,0.0113991994270222,"rnn",0.00337395770475268,0.0113991994270222,0.00802524172226948
"10","2020-10-05",10676.529296875,10793.5078125,10634.6005859375,10793.33984375,10793.33984375,47537578009,0.0115990321127717,"regression",-0.000722102708833648,0.0115990321127717,0.0123211348216053
"11","2020-10-05",10676.529296875,10793.5078125,10634.6005859375,10793.33984375,10793.33984375,47537578009,0.0115990321127717,"random_forest",-0.014069460607119,0.0115990321127717,0.0256684927198907
"12","2020-10-05",10676.529296875,10793.5078125,10634.6005859375,10793.33984375,10793.33984375,47537578009,0.0115990321127717,"rnn",0.000788886449299753,0.0115990321127717,0.0108101456634719
"13","2020-10-06",10796.306640625,10797.578125,10528.890625,10604.40625,10604.40625,42623695307,-0.0175046460581341,"regression",0.00377978431470697,-0.0175046460581341,0.021284430372841
"14","2020-10-06",10796.306640625,10797.578125,10528.890625,10604.40625,10604.40625,42623695307,-0.0175046460581341,"random_forest",0.00265123677483808,-0.0175046460581341,0.0201558828329721
"15","2020-10-06",10796.306640625,10797.578125,10528.890625,10604.40625,10604.40625,42623695307,-0.0175046460581341,"rnn",0.00160554458852857,-0.0175046460581341,0.0191101906466626
"16","2020-10-07",10603.35546875,10680.5078125,10562.5068359375,10668.96875,10668.96875,37799458436,0.00608827109014243,"regression",0.00903554638532973,0.00608827109014243,0.0029472752951873
"17","2020-10-07",10603.35546875,10680.5078125,10562.5068359375,10668.96875,10668.96875,37799458436,0.00608827109014243,"random_forest",-0.00293279587772455,0.00608827109014243,0.00902106696786697
